Date,Open,High,Low,Close,Volume,Close
2014/1/1,11.1,11.1,11.1,11.1,0,11.1
2014/1/2,11,11.4,11,11.35,523000,11.35
2014/1/3,11.25,11.35,11.1,11.35,263000,11.35
2014/1/6,11.3,11.55,11.2,11.4,363000,11.4
2014/1/7,11.3,11.55,11.25,11.5,617000,11.5
2014/1/8,11.35,11.6,11.3,11.4,899000,11.4
2014/1/9,11.4,11.45,11.15,11.4,431000,11.4
2014/1/10,11.25,11.6,11.25,11.55,825000,11.55
2014/1/13,11.5,12.35,11.45,12.2,1703000,12.2
2014/1/14,12.05,12.25,11.9,12.25,1014000,12.25
2014/1/15,12.2,12.25,12.1,12.2,652000,12.2
2014/1/16,12.1,12.35,12.05,12.3,662000,12.3
2014/1/17,12.3,12.4,12.15,12.2,613000,12.2
2014/1/20,12.2,13.05,12.1,13.05,2420000,13.05
2014/1/21,13.1,13.9,13.1,13.65,3339000,13.65
2014/1/22,13.65,14.05,13.4,13.45,2551000,13.45
2014/1/23,13.2,13.8,13.2,13.55,2254000,13.55
2014/1/24,13.45,13.6,13.25,13.45,1183000,13.45
2014/1/27,13.45,13.45,12.65,12.85,2246000,12.85
2014/1/28,12.85,12.85,12.85,12.85,0,12.85
2014/1/29,12.85,12.85,12.85,12.85,0,12.85
2014/1/30,12.85,12.85,12.85,12.85,0,12.85
2014/1/31,12.85,12.85,12.85,12.85,0,12.85
2014/2/3,12.85,12.85,12.85,12.85,0,12.85
2014/2/5,12.75,13.5,12.5,12.8,1144000,12.8
2014/2/6,12.9,13.3,12.85,13,1004000,13
2014/2/7,13,13.35,12.7,13,1480000,13
2014/2/10,12.75,13.15,12.75,12.95,644000,12.95
2014/2/11,12.85,13.05,12.75,13,625000,13
2014/2/12,12.9,13.2,12.9,13.2,862000,13.2
2014/2/13,13.05,14.1,13.05,14.1,3463000,14.1
2014/2/14,14.35,14.65,14.2,14.5,3764000,14.5
2014/2/17,14.5,14.6,14.2,14.6,1347000,14.6
2014/2/18,14.45,14.6,14.1,14.55,1366000,14.55
2014/2/19,14.55,15.55,14.5,15.4,3860000,15.4
2014/2/20,15.45,15.45,14.75,14.95,3466000,14.95
2014/2/21,14.85,15.05,14.7,14.95,1526000,14.95
2014/2/24,14.9,14.9,14.3,14.5,1405000,14.5
2014/2/25,14.5,15.25,14.5,15.05,1769000,15.05
2014/2/26,14.9,15.25,14.9,15.15,1324000,15.15
2014/2/27,15.15,15.25,14.9,14.9,1164000,14.9
2014/2/28,14.9,14.9,14.9,14.9,0,14.9
2014/3/3,14.9,15.2,14.7,15.2,657000,15.2
2014/3/4,14.8,15.05,14.7,14.7,1186000,14.7
2014/3/5,14.9,15.05,14.7,14.95,1183000,14.95
2014/3/6,14.9,15.25,14.8,14.95,1695000,14.95
2014/3/7,15.15,15.2,14.8,14.95,1164000,14.95
2014/3/10,14.75,15.1,14.75,15.1,1278000,15.1
2014/3/11,15.05,15.3,15,15.1,1314000,15.1
2014/3/12,14.9,15.15,14.8,14.8,1105000,14.8
2014/3/13,14.75,15.15,14.75,15.15,988000,15.15
2014/3/14,15.15,16.2,15.05,16.2,3337000,16.2
2014/3/17,16.45,17,16.25,16.8,4761000,16.8
2014/3/18,16.8,16.85,15.9,16.2,2520000,16.2
2014/3/19,16.25,16.5,15.8,15.8,2031000,15.8
2014/3/20,15.75,16.05,15.15,15.7,2019000,15.7
2014/3/21,15.55,15.8,15.4,15.4,936000,15.4
2014/3/24,15.35,15.4,14.8,15.35,901000,15.35
2014/3/25,15.55,16.4,15.35,16.2,3472000,16.2
2014/3/26,16,17.25,16,16.35,5500000,16.35
2014/3/27,16,17.45,16,17.45,4078000,17.45
2014/3/28,18.15,18.45,17.2,17.6,6407000,17.6
2014/3/31,17.7,18.05,17.25,17.55,1908000,17.55
2014/4/1,17.55,18.15,17.4,17.4,1416000,17.4
2014/4/2,17.45,17.6,17.15,17.2,1246000,17.2
2014/4/3,17.1,17.3,16.7,17,1305000,17
2014/4/4,17,17,17,17,0,17
2014/4/7,17.15,17.6,16.9,17.1,1094000,17.1
2014/4/8,17.1,17.2,16,16.1,1988000,16.1
2014/4/9,16.2,16.8,16.2,16.4,887000,16.4
2014/4/10,16.6,16.6,15.55,16,2188000,16
2014/4/11,15.9,16.05,15.55,15.65,1683000,15.65
2014/4/14,15.6,15.75,15,15.5,1726000,15.5
2014/4/15,15.5,15.7,15.35,15.45,1021000,15.45
2014/4/16,15.5,15.85,15.3,15.65,1014000,15.65
2014/4/17,16,16.1,15.65,15.65,1135000,15.65
2014/4/18,15.65,15.7,15.3,15.3,389000,15.3
2014/4/21,15.5,16,15.3,16,824000,16
2014/4/22,16,16.05,15.55,15.7,564000,15.7
2014/4/23,15.65,15.75,15.35,15.35,372000,15.35
2014/4/24,15.5,15.65,15.2,15.4,451000,15.4
2014/4/25,15.35,15.4,14.5,14.55,1449000,14.55
2014/4/28,14,14.3,13.85,14,1012000,14
2014/4/29,14.3,14.95,14.3,14.95,1300000,14.95
2014/4/30,14.95,15.45,14.7,14.8,938000,14.8
2014/5/1,14.8,14.8,14.8,14.8,0,14.8
2014/5/2,15,15.1,14.65,15.1,711000,15.1
2014/5/5,15.1,15.15,14.8,15.05,598000,15.05
2014/5/6,15,15.45,14.85,15.2,1020000,15.2
2014/5/7,15.15,16,15.15,15.85,1589000,15.85
2014/5/8,15.9,16.1,15.7,15.95,997000,15.95
2014/5/9,15.95,16.05,15.7,15.8,832000,15.8
2014/5/12,15.3,15.3,14.7,14.85,1210000,14.85
2014/5/13,13.9,14.8,13.9,14.5,706000,14.5
2014/5/14,14.1,14.3,14,14.15,641000,14.15
2014/5/15,14.2,14.8,14.2,14.8,538000,14.8
2014/5/16,14.7,14.7,14.3,14.65,494000,14.65
2014/5/19,14.65,15.1,14.6,14.8,449000,14.8
2014/5/20,14.7,15.25,14.6,14.85,520000,14.85
2014/5/21,14.9,14.95,14.65,14.7,479000,14.7
2014/5/22,14.8,15.05,14.6,14.85,528000,14.85
2014/5/23,14.85,15.35,14.85,15,673000,15
2014/5/26,14.9,15.3,14.9,15.15,579000,15.15
2014/5/27,15.05,15.3,14.85,14.85,588000,14.85
2014/5/28,14.9,15.1,14.8,14.9,636000,14.9
2014/5/29,14.9,15.15,14.6,14.95,629000,14.95
2014/5/30,14.95,15.2,14.8,15,654000,15
2014/6/2,15,15,15,15,0,15
2014/6/3,14.85,15.3,14.85,15,825000,15
2014/6/4,15,15.35,14.95,15.1,853000,15.1
2014/6/5,15.25,16.1,15.25,15.55,1137000,15.55
2014/6/6,15.8,16.1,15.6,15.8,758000,15.8
2014/6/9,16.2,16.3,15.3,15.35,650000,15.35
2014/6/10,15.35,15.6,14.6,14.85,674000,14.85
2014/6/11,14.85,15,13.95,15,820000,15
2014/6/12,15.5,15.8,15.15,15.6,1055000,15.6
2014/6/13,15.6,16.3,15.6,15.85,1329000,15.85
2014/6/16,16.1,16.1,15.65,15.65,452000,15.65
2014/6/17,15.7,16.15,15.55,15.65,922000,15.65
2014/6/18,15.9,16.05,15.7,15.95,571000,15.95
2014/6/19,16.05,17.05,15.9,16.95,3166000,16.95
2014/6/20,16.9,17.4,16.6,16.85,3654000,16.85
2014/6/23,16.8,17.1,15.95,16.5,2311000,16.5
2014/6/24,16.25,16.7,16.25,16.35,1015000,16.35
2014/6/25,16.8,17.45,16.7,17.45,2755000,17.45
2014/6/26,17.8,17.9,17.1,17.2,4064000,17.2
2014/6/27,17.2,17.4,16.95,17.05,1208000,17.05
2014/6/30,17.2,17.7,17.2,17.3,1386000,17.3
2014/7/1,17.3,18.5,17.3,18.35,5005000,18.35
2014/7/2,18.3,19.3,18,18.4,3951000,18.4
2014/7/3,18.35,18.9,18.25,18.6,767000,18.6
2014/7/4,18.6,18.8,18.2,18.8,1002000,18.8
2014/7/7,19,19.75,19,19.6,4936000,19.6
2014/7/8,19.55,19.75,19,19.6,2101000,19.6
2014/7/9,19.5,19.6,19.2,19.4,2462000,19.4
2014/7/10,19.8,20.15,18.05,19.7,10160000,19.7
2014/7/11,19.5,19.65,18.35,18.45,5729000,18.45
2014/7/14,18.45,18.85,18.45,18.6,1799000,18.6
2014/7/15,18.7,19.05,18.6,18.7,1430000,18.7
2014/7/16,18.5,18.7,18.4,18.5,2500000,18.5
2014/7/17,18.35,18.75,18.35,18.65,1346000,18.65
2014/7/18,18.6,18.8,18.45,18.7,1417000,18.7
2014/7/21,18.7,19.4,18.7,18.85,1934000,18.85
2014/7/22,18.7,19,18.55,18.95,1721000,18.95
2014/7/23,18.95,18.95,18.95,18.95,0,18.95
2014/7/24,19,19.85,18.95,19.7,2163000,19.7
2014/7/25,19.65,20.05,19.45,19.5,1988000,19.5
2014/7/28,19.35,19.75,18.8,18.8,1706000,18.8
2014/7/29,18.8,19.15,17.8,18.8,2784000,18.8
2014/7/30,18.4,18.55,17.8,17.95,3049000,17.95
2014/7/31,17.95,18.15,17.4,18.15,1937000,18.15
2014/8/1,17.8,18.15,17.75,18.1,1267000,18.1
2014/8/4,17.85,18.5,17.85,18.3,867000,18.3
2014/8/5,18.3,18.5,18.1,18.2,876000,18.2
2014/8/6,18.15,18.25,17.55,18,1673000,18
2014/8/7,17.75,18.35,17.75,18.2,1156000,18.2
2014/8/8,18,18.25,17.9,18,1048000,18
2014/8/11,17.8,18.15,17.75,18.15,947000,18.15
2014/8/12,18.05,18.55,17.85,18.5,2129000,18.5
2014/8/13,18.4,19.2,18.4,19,2347000,19
2014/8/14,18.9,19.4,18.5,18.7,2301000,18.7
2014/8/15,18.7,18.7,18.15,18.4,967000,18.4
2014/8/18,18.2,18.4,18.05,18.25,1122000,18.25
2014/8/19,18.2,18.6,18.2,18.6,975000,18.6
2014/8/20,18.5,19,18.5,18.65,1371000,18.65
2014/8/21,18.55,18.9,18.5,18.8,1042000,18.8
2014/8/22,18.8,19.3,18.8,18.9,1232000,18.9
2014/8/25,18.8,18.95,18.3,18.5,1314000,18.5
2014/8/26,18.4,18.6,18.4,18.55,863000,18.55
2014/8/27,18.5,18.55,18.3,18.35,993000,18.35
2014/8/28,18.5,18.5,18.15,18.45,1246000,18.45
2014/8/29,18.35,18.5,18,18.35,1340000,18.35
2014/9/1,18.3,18.6,18,18.3,1040000,18.3
2014/9/2,18.3,18.6,18.1,18.6,965000,18.6
2014/9/3,18.6,18.9,18.6,18.8,1113000,18.8
2014/9/4,18.7,18.7,18.35,18.6,800000,18.6
2014/9/5,18.6,18.75,18.5,18.55,821000,18.55
2014/9/8,18.55,18.55,18.55,18.55,0,18.55
2014/9/9,18.45,18.55,18.25,18.5,805000,18.5
2014/9/10,18.25,18.4,17.9,18.35,1146000,18.35
2014/9/11,18.25,18.4,17.9,18.4,1700000,18.4
2014/9/12,18.3,18.35,17.75,17.8,1557000,17.8
2014/9/15,17.85,18.15,17.65,18,1351000,18
2014/9/16,17.85,18.1,17.8,17.85,678000,17.85
2014/9/17,17.85,18.05,17.7,17.9,1226000,17.9
2014/9/18,17.75,18.05,17.6,18.05,1473000,18.05
2014/9/19,17.85,18,17.75,17.95,908000,17.95
2014/9/22,17.8,17.8,17.2,17.7,828000,17.7
2014/9/23,17.7,17.7,17.2,17.6,712000,17.6
2014/9/24,17.55,17.55,17.2,17.3,1693000,17.3
2014/9/25,17.3,17.4,17.05,17.2,810000,17.2
